PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
PART-TIME WORKER,10,WORK-BASED,2,2
PART-TIME WORKER,11,DISCRETIONARY,2126,2
PART-TIME WORKER,11,EATING OUT,281,2
PART-TIME WORKER,11,ESCORT,1344,2
PART-TIME WORKER,11,HOME,294162,2
PART-TIME WORKER,11,MAINTENANCE,1210,2
PART-TIME WORKER,11,SHOP,579,2
PART-TIME WORKER,11,VISITING,368,2
PART-TIME WORKER,11,WORK,933,2
PART-TIME WORKER,11,WORK-BASED,4,2
PART-TIME WORKER,12,DISCRETIONARY,2838,2
PART-TIME WORKER,12,EATING OUT,282,2
PART-TIME WORKER,12,ESCORT,1924,2
PART-TIME WORKER,12,HOME,288675,2
PART-TIME WORKER,12,MAINTENANCE,1848,2
PART-TIME WORKER,12,SHOP,785,2
PART-TIME WORKER,12,VISITING,453,2
PART-TIME WORKER,12,WORK,4192,2
PART-TIME WORKER,12,WORK-BASED,10,2
PART-TIME WORKER,13,DISCRETIONARY,3515,2
PART-TIME WORKER,13,EATING OUT,274,2
PART-TIME WORKER,13,ESCORT,4989,2
PART-TIME WORKER,13,HOME,273237,2
PART-TIME WORKER,13,MAINTENANCE,2569,2
PART-TIME WORKER,13,SHOP,942,2
PART-TIME WORKER,13,VISITING,528,2
PART-TIME WORKER,13,WORK,14921,2
PART-TIME WORKER,13,WORK-BASED,32,2
PART-TIME WORKER,14,DISCRETIONARY,4671,2
PART-TIME WORKER,14,EATING OUT,297,2
PART-TIME WORKER,14,ESCORT,13271,2
PART-TIME WORKER,14,HOME,236369,2
PART-TIME WORKER,14,MAINTENANCE,3721,2
PART-TIME WORKER,14,SHOP,1067,2
PART-TIME WORKER,14,VISITING,635,2
PART-TIME WORKER,14,WORK,40886,2
PART-TIME WORKER,14,WORK-BASED,90,2
PART-TIME WORKER,15,DISCRETIONARY,5710,2
PART-TIME WORKER,15,EATING OUT,302,2
PART-TIME WORKER,15,ESCORT,14506,2
PART-TIME WORKER,15,HOME,211853,2
PART-TIME WORKER,15,MAINTENANCE,4887,2
PART-TIME WORKER,15,SHOP,1315,2
PART-TIME WORKER,15,VISITING,842,2
PART-TIME WORKER,15,WORK,61405,2
PART-TIME WORKER,15,WORK-BASED,187,2
PART-TIME WORKER,16,DISCRETIONARY,6462,2
PART-TIME WORKER,16,EATING OUT,310,2
PART-TIME WORKER,16,ESCORT,9674,2
PART-TIME WORKER,16,HOME,198142,2
PART-TIME WORKER,16,MAINTENANCE,6089,2
PART-TIME WORKER,16,SHOP,1802,2
PART-TIME WORKER,16,VISITING,1185,2
PART-TIME WORKER,16,WORK,77061,2
PART-TIME WORKER,16,WORK-BASED,282,2
PART-TIME WORKER,17,DISCRETIONARY,7216,2
PART-TIME WORKER,17,EATING OUT,356,2
PART-TIME WORKER,17,ESCORT,4539,2
PART-TIME WORKER,17,HOME,190347,2
PART-TIME WORKER,17,MAINTENANCE,7369,2
PART-TIME WORKER,17,SHOP,2690,2
PART-TIME WORKER,17,VISITING,1726,2
PART-TIME WORKER,17,WORK,86370,2
PART-TIME WORKER,17,WORK-BASED,394,2
PART-TIME WORKER,18,DISCRETIONARY,7766,2
PART-TIME WORKER,18,EATING OUT,423,2
PART-TIME WORKER,18,ESCORT,3492,2
PART-TIME WORKER,18,HOME,182184,2
PART-TIME WORKER,18,MAINTENANCE,8552,2
PART-TIME WORKER,18,SHOP,4119,2
PART-TIME WORKER,18,VISITING,2200,2
PART-TIME WORKER,18,WORK,91753,2
PART-TIME WORKER,18,WORK-BASED,518,2
PART-TIME WORKER,19,DISCRETIONARY,7486,2
PART-TIME WORKER,19,EATING OUT,522,2
PART-TIME WORKER,19,ESCORT,3258,2
PART-TIME WORKER,19,HOME,174927,2
PART-TIME WORKER,19,MAINTENANCE,9542,2
PART-TIME WORKER,19,SHOP,5835,2
PART-TIME WORKER,19,VISITING,2601,2
PART-TIME WORKER,19,WORK,96216,2
PART-TIME WORKER,19,WORK-BASED,620,2
PART-TIME WORKER,20,DISCRETIONARY,7120,2
PART-TIME WORKER,20,EATING OUT,618,2
PART-TIME WORKER,20,ESCORT,3234,2
PART-TIME WORKER,20,HOME,168943,2
PART-TIME WORKER,20,MAINTENANCE,10195,2
PART-TIME WORKER,20,SHOP,7110,2
PART-TIME WORKER,20,VISITING,3015,2
PART-TIME WORKER,20,WORK,100014,2
PART-TIME WORKER,20,WORK-BASED,758,2
PART-TIME WORKER,21,DISCRETIONARY,6828,2
PART-TIME WORKER,21,EATING OUT,1071,2
PART-TIME WORKER,21,ESCORT,3195,2
PART-TIME WORKER,21,HOME,164588,2
PART-TIME WORKER,21,MAINTENANCE,10402,2
PART-TIME WORKER,21,SHOP,7646,2
PART-TIME WORKER,21,VISITING,3290,2
PART-TIME WORKER,21,WORK,103106,2
PART-TIME WORKER,21,WORK-BASED,881,2
PART-TIME WORKER,22,DISCRETIONARY,6309,2
PART-TIME WORKER,22,EATING OUT,1543,2
PART-TIME WORKER,22,ESCORT,3280,2
PART-TIME WORKER,22,HOME,162263,2
PART-TIME WORKER,22,MAINTENANCE,9748,2
PART-TIME WORKER,22,SHOP,7182,2
PART-TIME WORKER,22,VISITING,3529,2
PART-TIME WORKER,22,WORK,105328,2
PART-TIME WORKER,22,WORK-BASED,1825,2
PART-TIME WORKER,23,DISCRETIONARY,5895,2
PART-TIME WORKER,23,EATING OUT,1734,2
PART-TIME WORKER,23,ESCORT,3470,2
PART-TIME WORKER,23,HOME,160744,2
PART-TIME WORKER,23,MAINTENANCE,9162,2
PART-TIME WORKER,23,SHOP,6578,2
PART-TIME WORKER,23,VISITING,3812,2
PART-TIME WORKER,23,WORK,106477,2
PART-TIME WORKER,23,WORK-BASED,3135,2
PART-TIME WORKER,24,DISCRETIONARY,5640,2
PART-TIME WORKER,24,EATING OUT,1651,2
PART-TIME WORKER,24,ESCORT,3530,2
PART-TIME WORKER,24,HOME,162028,2
PART-TIME WORKER,24,MAINTENANCE,8389,2
PART-TIME WORKER,24,SHOP,6158,2
PART-TIME WORKER,24,VISITING,3591,2
PART-TIME WORKER,24,WORK,106645,2
PART-TIME WORKER,24,WORK-BASED,3375,2
PART-TIME WORKER,25,DISCRETIONARY,5381,2
PART-TIME WORKER,25,EATING OUT,1370,2
PART-TIME WORKER,25,ESCORT,3627,2
PART-TIME WORKER,25,HOME,165381,2
PART-TIME WORKER,25,MAINTENANCE,8005,2
PART-TIME WORKER,25,SHOP,6040,2
PART-TIME WORKER,25,VISITING,3417,2
PART-TIME WORKER,25,WORK,105551,2
PART-TIME WORKER,25,WORK-BASED,2235,2
PART-TIME WORKER,26,DISCRETIONARY,5226,2
PART-TIME WORKER,26,EATING OUT,1110,2
PART-TIME WORKER,26,ESCORT,6508,2
PART-TIME WORKER,26,HOME,166659,2
PART-TIME WORKER,26,MAINTENANCE,7697,2
PART-TIME WORKER,26,SHOP,5946,2
PART-TIME WORKER,26,VISITING,3259,2
PART-TIME WORKER,26,WORK,103244,2
PART-TIME WORKER,26,WORK-BASED,1358,2
PART-TIME WORKER,27,DISCRETIONARY,5139,2
PART-TIME WORKER,27,EATING OUT,891,2
PART-TIME WORKER,27,ESCORT,11608,2
PART-TIME WORKER,27,HOME,166840,2
PART-TIME WORKER,27,MAINTENANCE,7402,2
PART-TIME WORKER,27,SHOP,5493,2
PART-TIME WORKER,27,VISITING,3043,2
PART-TIME WORKER,27,WORK,99654,2
PART-TIME WORKER,27,WORK-BASED,937,2
PART-TIME WORKER,28,DISCRETIONARY,5263,2
PART-TIME WORKER,28,EATING OUT,736,2
PART-TIME WORKER,28,ESCORT,13121,2
PART-TIME WORKER,28,HOME,170878,2
PART-TIME WORKER,28,MAINTENANCE,7268,2
PART-TIME WORKER,28,SHOP,5389,2
PART-TIME WORKER,28,VISITING,2937,2
PART-TIME WORKER,28,WORK,94687,2
PART-TIME WORKER,28,WORK-BASED,728,2
PART-TIME WORKER,29,DISCRETIONARY,5516,2
PART-TIME WORKER,29,EATING OUT,649,2
PART-TIME WORKER,29,ESCORT,11597,2
PART-TIME WORKER,29,HOME,178198,2
PART-TIME WORKER,29,MAINTENANCE,7172,2
PART-TIME WORKER,29,SHOP,5452,2
PART-TIME WORKER,29,VISITING,2944,2
