ZONE,PER,QUANTITY
51,PER45,49
51,PER46,36
51,PER47,19
51,PER8,7
51,PER9,18
52,PER10,18
52,PER11,30
52,PER12,50
52,PER13,69
52,PER14,105
52,PER15,127
52,PER16,134
52,PER17,145
52,PER18,154
52,PER19,172
52,PER20,177
52,PER21,186
52,PER22,191
52,PER23,186
52,PER24,187
52,PER25,180
52,PER26,180
52,PER27,185
52,PER28,186
52,PER29,178
52,PER30,156
52,PER31,145
52,PER32,145
52,PER33,124
52,PER34,101
52,PER35,84
52,PER36,81
52,PER37,89
52,PER38,75
52,PER39,64
52,PER40,54
52,PER41,43
52,PER42,33
52,PER43,31
52,PER44,27
52,PER45,25
52,PER46,20
52,PER47,12
52,PER8,9
52,PER9,12
53,PER10,9
53,PER11,13
53,PER12,58
53,PER13,245
53,PER14,537
53,PER15,673
53,PER16,723
53,PER17,711
53,PER18,712
53,PER19,723
53,PER20,722
53,PER21,718
53,PER22,719
53,PER23,712
53,PER24,696
53,PER25,682
53,PER26,685
53,PER27,701
53,PER28,659
53,PER29,482
53,PER30,312
53,PER31,223
53,PER32,170
53,PER33,126
53,PER34,105
53,PER35,96
53,PER36,87
53,PER37,67
53,PER38,58
53,PER39,49
53,PER40,37
53,PER41,27
53,PER42,21
53,PER43,16
53,PER44,15
53,PER45,11
53,PER46,6
53,PER47,2
53,PER8,2
53,PER9,5
54,PER10,4
54,PER11,8
54,PER12,10
54,PER13,14
54,PER14,24
54,PER15,28
54,PER16,28
54,PER17,26
54,PER18,29
54,PER19,32
54,PER20,34
54,PER21,32
54,PER22,35
54,PER23,38
54,PER24,41
54,PER25,39
54,PER26,37
54,PER27,41
54,PER28,43
54,PER29,41
54,PER30,38
54,PER31,39
54,PER32,34
54,PER33,34
54,PER34,31
54,PER35,36
54,PER36,34
54,PER37,34
54,PER38,32
54,PER39,27
54,PER40,21
54,PER41,17
54,PER42,13
54,PER43,5
54,PER44,3
54,PER46,2
54,PER47,2
54,PER8,1
54,PER9,2
55,PER10,1
55,PER11,2
55,PER12,7
55,PER13,20
55,PER14,32
55,PER15,39
55,PER16,42
55,PER17,35
55,PER18,36
55,PER19,33
55,PER20,33
55,PER21,32
55,PER22,31
55,PER23,30
55,PER24,34
55,PER25,31
55,PER26,27
55,PER27,24
55,PER28,23
55,PER29,22
55,PER30,19
55,PER31,17
55,PER32,18
55,PER33,21
55,PER34,19
55,PER35,19
55,PER36,21
55,PER37,19
55,PER38,18
55,PER39,16
55,PER40,16
55,PER41,7
55,PER42,7
55,PER43,6
55,PER44,2
55,PER45,2
55,PER46,1
55,PER47,1
55,PER9,1
56,PER10,12
56,PER11,19
56,PER12,52
56,PER13,133
56,PER14,227
56,PER15,262
56,PER16,300
56,PER17,299
56,PER18,301
56,PER19,304
56,PER20,307
56,PER21,308
56,PER22,310
56,PER23,311
56,PER24,310
56,PER25,304
56,PER26,294
56,PER27,293
56,PER28,280
56,PER29,233
56,PER30,192
56,PER31,155
56,PER32,131
56,PER33,105
56,PER34,85
56,PER35,55
56,PER36,55
56,PER37,50
56,PER38,42
56,PER39,31
56,PER40,30
56,PER41,24
56,PER42,18
56,PER43,12
56,PER44,8
56,PER45,5
56,PER46,1
56,PER47,2
56,PER8,2
56,PER9,5
57,PER14,2
57,PER15,4
57,PER16,5
57,PER17,5
57,PER18,5
57,PER19,5
57,PER20,5
57,PER21,5
57,PER22,5
57,PER23,5
57,PER24,5
57,PER25,4
57,PER26,3
57,PER27,3
57,PER28,3
57,PER29,3
57,PER30,2
57,PER31,3
57,PER32,3
57,PER33,4
57,PER34,2
57,PER35,3
57,PER36,6
57,PER37,6
57,PER38,5
57,PER39,6
57,PER40,6
57,PER41,2
57,PER42,2
57,PER43,2
58,PER10,15
58,PER11,20
58,PER12,33
58,PER13,66
58,PER14,100
58,PER15,124
58,PER16,136
58,PER17,147
58,PER18,153
58,PER19,159
58,PER20,164
58,PER21,171
58,PER22,177
58,PER23,174
58,PER24,174
58,PER25,167
58,PER26,165
58,PER27,156
58,PER28,153
