"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"64187","BUS",33.7631118748609,-84.3492235403266,"DAILY",17.99,17
"64192","BUS",33.7724398392226,-84.3524898966396,"DAILY",31,26
"64193","BUS",33.7738230988026,-84.3505599588753,"DAILY",4,1
"64194","BUS",33.7724398392226,-84.3489701276277,"DAILY",12,17
"64197","BUS",33.7701242588803,-84.3525139041585,"DAILY",22,22
"64198","BUS",33.7705095547055,-84.3489954688976,"DAILY",5,5
"64199","BUS",33.7670751894484,-84.3528606794306,"DAILY",14,3
"64200","BUS",33.7624716178475,-84.35530677885,"DAILY",0,0
"64203","BUS",33.7902757062143,-84.3354779020407,"DAILY",32,29
"64204","BUS",33.786539763731,-84.3552400912976,"DAILY",117,116
"64206","BUS",33.7995275627587,-84.3708783223186,"DAILY",239,238
"64210","BUS",33.8426797438382,-84.4279095170697,"DAILY",0,0
"64211","BUS",33.8390503522991,-84.4235294786328,"DAILY",46,59
"64219","BUS",33.7778701319892,-84.2956094157568,"DAILY",0,1
"64224","BUS",33.7613195357627,-84.363698740435,"DAILY",4,10
"64226","BUS",33.8201204354333,-84.308449437082,"DAILY",45,48
"64227","BUS",33.8631498926573,-84.309449750367,"DAILY",18,17
"64238","BUS",33.923259846786,-84.4725501645983,"DAILY",37,45
"64239","BUS",33.9174604311053,-84.4754203968505,"DAILY",0,10
"64244","BUS",33.9570298366838,-84.5490794658991,"DAILY",17,8
"64245","BUS",33.9564514172721,-84.550221156795,"DAILY",15,9
"64246","BUS",33.9542300203537,-84.549019447102,"DAILY",22,10
"64247","BUS",33.954292809303,-84.5502251580481,"DAILY",2,11
"64346","BUS",33.9238201905911,-84.333339899113,"DAILY",329,337
"64409","BUS",33.7381323378648,-84.3492728891153,"DAILY",0,1
"64410","BUS",33.7318895941482,-84.3493595829333,"DAILY",2,0
"64411","BUS",33.7269701751054,-84.3493995954647,"DAILY",2,5
"64412","BUS",33.7156909965768,-84.3472322500141,"DAILY",1,1
"64413","BUS",33.7123184689213,-84.3495249680631,"DAILY",2,3
"64416","BUS",33.6844601537347,-84.3649698051823,"DAILY",41,41
"64417","BUS",33.6661200724531,-84.3606697918082,"DAILY",24,27
"64418","BUS",33.6696495724819,-84.3682695052715,"DAILY",9,12
"64425","BUS",33.5972196654226,-84.3380200315354,"DAILY",70,76
"64514","BUS",33.5897220940677,-85.0990130311698,"DAILY",76,73
"64565","BUS",34.0075796976079,-84.5466893840237,"DAILY",7,6
"64581","BUS",33.7966202441366,-84.571159714475,"DAILY",123,122
"64607","BUS",33.6556704691335,-84.4826106487425,"DAILY",62,57
"64611","BUS",33.6796596531565,-84.4576601679144,"DAILY",3,13
"64615","BUS",33.6634296611105,-84.4688103266637,"DAILY",50,50
"64617","BUS",33.6969703762086,-84.4573200613975,"DAILY",51,47
"64620","BUS",33.7380096140094,-84.4204805237404,"DAILY",71,86
"64624","BUS",33.780016372438,-84.3991738507715,"DAILY",13,2
"64627","BUS",33.7162703673363,-84.4180904418649,"DAILY",7,3
"64629","BUS",33.7203944596879,-84.4180304230678,"DAILY",7,6
"64631","BUS",33.7350138200497,-84.4141051937378,"DAILY",1,1
"64632","BUS",33.7210004681834,-84.3914100859294,"DAILY",10,9
"64636","BUS",33.7160487033183,-84.3814242918438,"DAILY",2,3
"64640","BUS",33.7181397655995,-84.383350228355,"DAILY",0,1
"64642","BUS",33.6632393915671,-84.3559776556264,"DAILY",0,0
"64665","BUS",33.4489996911688,-84.3337200181613,"DAILY",5,2
"64671","BUS",33.5449402543497,-84.4158404038494,"DAILY",4,4
"64677","BUS",33.5960000376499,-84.4181597969193,"DAILY",553.98,539.02
"64679","BUS",33.6890627739878,-84.3319674692861,"DAILY",14,19
"64680","BUS",33.7478598682675,-84.2513502210276,"DAILY",213,205
"64686","BUS",33.9704400340977,-84.0856303197408,"DAILY",36,36
"64688","BUS",33.9831795313713,-84.092940609227,"DAILY",81,60
"64701","BUS",34.2690300284449,-83.8594794922853,"DAILY",0,1
"64706","BUS",34.228769944424,-83.8681302015733,"DAILY",11,14
"64707","BUS",34.2355169024305,-83.8564865549368,"DAILY",0,0
"64708","BUS",34.2455498154503,-83.8480599158246,"DAILY",2,3
"64709","BUS",34.2257399019465,-83.858840625534,"DAILY",1,3
"64851","BUS",33.9091799005796,-84.582529942147,"DAILY",27,28
"64862","BUS",33.8200195925753,-84.4346903073905,"DAILY",29,35
"64864","BUS",33.8033957425746,-84.4323709143205,"DAILY",79,98
"64869","BUS",33.917213080699,-84.3791422438031,"DAILY",48,45
"64876","BUS",33.9214227943451,-84.3889399789912,"DAILY",0,0
"64882","BUS",33.7896097628127,-84.419609584307,"DAILY",80,66
"64885","BUS",33.750920353872,-84.4112696390128,"DAILY",40,138
